id,created_at,map,type,is_remake,game_length_second,is_recorded,average_tier,average_division,tier_image_url,border_image_url,blue_dragon_kill,blue_baron_kill,blue_tower_kill,blue_is_remake,blue_is_win,blue_kill,blue_death,blue_assist,blue_gold_earned,blue_banned_champions,red_dragon_kill,red_baron_kill,red_tower_kill,red_is_remake,red_is_win,red_kill,red_death,red_assist,red_gold_earned,red_banned_champions
4897,2023-10-01T21:57:42+09:00,SUMMONERS_RIFT,NORMAL,False,2957,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,4,0,7,False,False,62,84,49,98669,"[28, 145, 164, 166, 233]",4,2,8,False,True,84,62,103,113182,"[59, 360, 412, 711, 875]"
4898,2023-10-01T21:02:37+09:00,SUMMONERS_RIFT,NORMAL,False,1948,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,0,3,False,False,32,45,27,58863,"[11, 122, 145, 166, 233]",2,0,11,False,True,45,32,45,70140,"[86, 200, 238, 360, 412]"
4899,2023-10-01T20:23:38+09:00,SUMMONERS_RIFT,NORMAL,False,912,False,GOLD,1,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,0,0,0,False,False,4,20,3,22460,"[35, 54, 166, 360, 412]",2,0,5,False,True,20,4,34,34492,"[None, 25, 58, 63, 157]"
4900,2023-10-01T20:01:06+09:00,HOWLING_ABYSS,ARAM,False,872,False,SILVER,2,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,0,0,2,False,True,55,39,110,57634,"[None, None, None, None, None]",0,0,0,False,False,39,55,95,52453,"[None, None, None, None, None]"
4901,2023-10-03T20:33:05+09:00,SUMMONERS_RIFT,SOLORANKED,False,1184,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,0,4,False,True,25,4,25,41362,"[None, 11, 99, 119, 412]",0,0,0,False,False,4,25,4,25942,"[25, 89, 122, 517, 876]"
4902,2023-10-03T20:04:49+09:00,SUMMONERS_RIFT,SOLORANKED,False,1980,False,SILVER,1,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,0,0,2,False,False,16,33,28,53968,"[25, 86, 157, 238, 895]",3,1,9,False,True,33,16,48,66238,"[53, 114, 143, 517, 876]"
4903,2023-10-03T17:45:20+09:00,SUMMONERS_RIFT,SOLORANKED,False,2163,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,1,7,False,False,37,52,58,70089,"[18, 83, 99, 143, 876]",3,1,9,False,True,52,37,80,76699,"[None, 15, 90, 101, 235]"
4904,2023-10-01T22:34:11+09:00,SUMMONERS_RIFT,FLEXRANKED,False,1479,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,0,0,4,False,False,14,34,15,45882,"[8, 96, 122, 254, 555]",3,0,7,False,True,34,14,52,52273,"[111, 233, 360, 517, 876]"
4905,2023-10-01T20:49:02+09:00,SUMMONERS_RIFT,FLEXRANKED,False,2224,False,GOLD,3,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,0,6,False,False,35,49,62,73787,"[2, 34, 233, 360, 876]",4,2,8,False,True,49,35,65,78138,"[50, 53, 63, 200, 238]"
4906,2023-10-01T19:45:21+09:00,SUMMONERS_RIFT,NORMAL,False,2317,False,SILVER,3,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,4,0,11,False,True,50,42,55,76130,"[42, 57, 105, 122, 233]",2,1,4,False,False,42,50,39,77889,"[53, 143, 266, 517, 876]"
4907,2023-10-01T18:47:17+09:00,SUMMONERS_RIFT,SOLORANKED,False,1964,False,SILVER,1,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,2,1,7,False,True,27,34,53,64076,"[56, 67, 101, 517, 876]",3,0,7,False,False,34,27,40,61424,"[25, 82, 105, 200, 233]"
4908,2023-10-01T03:46:25+09:00,HOWLING_ABYSS,ARAM,False,1163,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,0,0,4,False,True,43,45,90,68916,"[None, None, None, None, None]",0,0,1,False,False,45,43,100,64832,"[None, None, None, None, None]"
4909,2023-10-01T03:23:40+09:00,SUMMONERS_RIFT,NORMAL,False,2333,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,1,5,False,False,22,41,28,70162,"[2, 29, 35, 61, 89]",4,2,10,False,True,40,22,36,77633,"[84, 105, 143, 555, 876]"
4910,2023-10-01T02:38:15+09:00,SUMMONERS_RIFT,NORMAL,False,2004,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,0,3,False,False,27,33,35,59802,"[18, 35, 67, 122, 238]",4,1,10,False,True,33,27,48,67649,"[None, 89, 105, 555, 876]"
4911,2023-10-01T01:39:47+09:00,SUMMONERS_RIFT,FLEXRANKED,False,2014,False,SILVER,1,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,4,1,9,False,True,30,30,23,65872,"[14, 59, 114, 233, 238]",1,0,5,False,False,30,30,40,64270,"[16, 22, 266, 517, 876]"
4912,2023-10-01T00:59:08+09:00,SUMMONERS_RIFT,FLEXRANKED,False,1987,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,1,5,False,False,40,52,63,70619,"[233, 266, 517, 876, 895]",3,1,9,False,True,52,40,61,74674,"[None, 53, 89, 112, 200]"
4913,2023-09-30T17:56:38+09:00,SUMMONERS_RIFT,SOLORANKED,False,2334,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,3,2,9,False,True,55,38,68,89278,"[None, 82, 136, 245, 360]",2,1,9,False,False,38,55,32,82747,"[22, 29, 56, 517, 777]"
4914,2023-09-30T17:10:53+09:00,SUMMONERS_RIFT,SOLORANKED,False,1784,False,PLATINUM,4,https://opgg-static.akamaized.net/images/medals_new/platinum.png,https://opgg-static.akamaized.net/images/border_new/platinum.png,2,0,10,False,True,42,25,49,65708,"[25, 36, 56, 200, 238]",1,1,2,False,False,25,42,25,56531,"[8, 11, 121, 517, 518]"
